Run case 2
HPWL, seed
85431,920
88893,733
84473,669
84203,672
82905,652
86308,648
85273,731
84644,649
85647,654
84760,664
84473,669
86911,727
87012,656
84874,659
87637,651
86333,653
87012,656
87012,656
82905,652
86677,732
87012,656
89207,660
86281,702
86051,685
82731,734
84634,743
84724,736
86544,746
84867,795
85617,779
83836,810
88202,841
84180,842
89210,921
86641,924
89191,979
88749,1008
86071,1027
88476,1132
84619,1156
85114,1239
83784,1431
88176,1391
80848,1394
85359,1540
85397,1597
83633,1599
85002,1607
85906,1592
85155,1639
88247,1638
84746,1591
86873,1668
86318,1605
82384,1618
86071,1577
90029,1604
83352,1629
84040,1611
84620,1590
84040,1611
85068,1671
84368,1613
86496,1595
83119,1587
83633,1599
82002,1619
84584,1667
83950,1626
86114,1601
87899,1700
83009,1584
84950,1593
83009,1584
85790,1603
87301,1589
87467,1609
86534,1712
86496,1595
84760,1632
86116,1624
84746,1591
88055,1661
83633,1599
85433,1631
84620,1590
86114,1601
87256,1677
85909,1598
85776,1588
85790,1603
85658,1583
83119,1587
83950,1626
84620,1590
85155,1639
88247,1638
86987,1622
86581,1606
91917,1665
85397,1597
87128,1670
84574,1600
84574,1600
87161,1585
83331,1663
83009,1584
85499,1596
84760,1632
87208,1612
86954,1633
85002,1607
86954,1633
85687,1682
84950,1593
83119,1587
87612,1617
83009,1584
90029,1604
85524,1675
85002,1607
86581,1606
85068,1671
83191,1656
84950,1593
82002,1619
83915,1637
85433,1631
84368,1613
90029,1604
83673,1674
84574,1600
84403,1716
86496,1595
86114,1601
84950,1593
86987,1622
85397,1597
85155,1639
88247,1638
85499,1596
87463,1616
87208,1666
82477,1635
83633,1599
86318,1605
83561,1669
83633,1599
83352,1629
87076,1586
90029,1604
85790,1603
86318,1605
85282,1615
83813,1625
85909,1598
85433,1631
84574,1600
84505,1685
84040,1611
83950,1626
88039,1594
88945,1680
84950,1593
84577,1707
85776,1588
87208,1612
89110,1673
86318,1605
85776,1588
86267,1634
86268,1706
85499,1596
87467,1609
83305,1703
86581,1606
84368,1613
87076,1586
86268,1610
86267,1634
84746,1591
86267,1602
85776,1588
88945,1680
84533,1576
83926,1575
90029,1604
82002,1619
86114,1601
87462,1688
84950,1593
87116,1690
88042,1582
83633,1599
83633,1599
85126,1678
85499,1596
87208,1612
83673,1674
90029,1604
90029,1604
84760,1632
86987,1622
85433,1631
86267,1602
85433,1631
88042,1582
89319,1614
84271,1664
86268,1610
85499,1596
87467,1609
85513,1569
88099,1672
85906,1592
87255,1627
83923,1608
86237,1620
84620,1590
82002,1619
86268,1610
87462,1688
88042,1582
87255,1627
85776,1588
