Run case 1
HPWL, seed
83461,1353
83395,1338
82486,1416
82836,1342
81203,1361
83395,1338
83170,1350
83470,1352
81548,1329
82241,1333
85115,1336
82134,1357
82241,1333
83348,1335
83461,1353
79949,1328
82502,1360
85524,1345
82073,1362
82237,1327
81174,1294
82073,1362
84136,1330
83348,1335
82533,1410
83395,1338
82134,1357
81429,1337
80022,1354
82241,1333
83460,1340
80243,1366
82237,1327
81548,1329
84136,1330
82073,1362
85172,1546
83247,1531
82707,1513
82678,1519
84355,1553
85584,1521
83281,1864
83095,1811
85135,2128
82060,2777
85024,2716
84639,2774
83345,2728
81434,2738
82597,2791
83284,2697
84108,2772
84064,2707
83157,2673
84639,2774
83688,2706
82480,2757
83702,2701
82054,2783
82563,2722
82485,2767
81981,670
82161,668
83283,661
81543,717
81716,666
83343,662
84134,657
84769,658
82830,664
83138,671
84021,652
82910,701
83138,671
84134,657
81716,666
84769,658
83709,700
80727,667
83301,656
80464,678
84769,658
84935,715
81867,711
85971,660
81981,670
81704,654
84134,657
82177,672
81716,666
80833,681
81242,665
82816,655
82532,673
84021,652
82715,704
83013,669
84769,658
81716,666
84134,657
84414,703
83138,671
83195,659
80727,667
85971,660
83301,656
83138,671
84580,653
86155,702
83138,671
83283,661
83343,662
85971,660
81865,712
81242,665
81704,654
82177,672
81912,651
81665,696
82161,668
84769,658
82329,679
80727,667
81704,654
81716,666
84769,658
82715,704
82161,668
84580,653
82161,668
82816,655
81396,706
82161,668
83283,661
83013,669
83301,656
84021,652
82161,697
83195,659
81543,717
82715,704
81083,694
83047,746
82724,741
81539,742
82841,735
83047,746
84801,750
83007,737
81985,752
83914,731
82366,762
82841,735
83914,731
84731,798
82805,794
82993,857
82465,843
82676,854
81234,851
82996,850
84788,920
82049,929
83277,925
84262,938
82435,915
82989,917
81578,933
82209,919
82719,924
82403,916
82483,931
83347,921
83387,934
81834,918
82049,929
82055,923
80222,912
82991,936
82483,931
85583,1092
84026,944
82565,940
82209,919
83877,913
81890,893
80540,981
83103,992
81989,1047
82309,1166
80875,1139
81855,1124
81239,1108
81987,1072
80849,1174
84275,1104
82034,1130
81777,1127
85274,1119
82870,1100
81684,1266
81556,1223
81644,1412
82286,1409
82942,1456
84033,1384
82347,1405
81185,1397
84537,1411
83210,1400
82564,1461
81807,1387
81603,1415
82282,1388
84537,1411
86224,1399
84067,1422
84033,1384
81603,1415
80659,1396
85687,1404
84067,1422
82848,1391
84537,1411
80659,1396
83695,1480
83210,1400
83862,1421
82918,1382
83738,1413
83161,1383
82226,1476
81807,1387
83862,1421
84033,1384
81017,1470
83671,1402
86109,1419
83161,1383
82662,1428
82282,1388
84537,1411
82848,1394
80659,1396
82415,1437
81379,1377
82533,1410
83240,1395
84230,1406
81370,1407
