Run case 5
HPWL, seed
518664,935
507062,697
513008,670
516386,672
507227,665
513016,657
507227,665
510268,693
513382,660
510199,744
516371,661
510169,667
507227,665
507001,663
511649,659
513382,660
511649,659
508022,658
511649,659
513382,660
511907,696
513016,657
505086,704
513016,657
507463,676
513008,670
508194,662
516989,656
511682,666
513382,660
508022,658
514386,637
507227,665
515695,698
508194,662
511649,659
507001,663
513382,660
510169,667
516371,661
511682,666
516371,661
514349,668
508022,658
510169,667
511682,666
512967,709
508022,658
509059,687
513382,660
508022,658
513382,660
507001,663
508022,658
507227,665
511682,666
513008,670
508194,662
514349,668
513016,657
513016,657
511275,706
507001,663
511682,666
508022,658
513008,670
516371,661
513382,660
513382,660
508194,662
508194,662
508022,658
508681,700
508194,662
504427,707
508194,662
508194,662
511649,659
516371,661
508022,658
516989,656
511590,664
511682,666
507991,718
508194,662
512817,703
508194,662
511649,659
513382,660
507001,663
508194,662
507001,663
516371,661
508194,662
511649,659
516371,661
511649,659
511590,664
506315,730
513382,660
506552,720
507001,663
507227,665
511649,659
516371,661
516371,661
516989,656
510169,667
511682,666
508516,685
511649,659
514101,726
516989,656
508194,662
508194,662
511590,664
508194,662
513382,660
507001,663
516371,661
516371,661
516371,661
511408,702
507251,669
507991,718
511649,659
511649,659
508194,662
516989,656
507001,663
513016,657
511649,659
511649,659
508022,658
511590,664
506552,720
506479,711
506976,735
510169,667
507227,665
513016,657
513016,657
507227,665
516371,661
508194,662
514349,668
513720,673
511590,664
513720,673
516371,661
512596,727
507001,663
508312,795
507463,676
511639,739
511682,666
510169,667
510169,667
507251,669
516371,661
516989,656
508022,658
514349,668
516371,661
507251,669
516371,661
507001,663
515130,729
510635,639
510894,731
507463,676
507227,665
511590,664
513382,660
516371,661
507227,665
508194,662
513382,660
508022,658
516371,661
511275,706
516371,661
507062,697
516371,661
516371,661
511682,666
516371,661
510169,667
507001,663
513382,660
516989,656
510010,651
513016,657
511731,705
507001,663
508194,662
507227,665
511682,666
507227,665
516371,661
510437,671
507001,663
511649,659
511590,664
511682,666
514349,668
507851,719
508194,662
505619,722
507251,669
511590,664
511682,666
510080,692
513828,733
511582,689
511590,664
507463,676
507251,669
518923,683
508681,700
513855,643
507062,697
511304,680
513720,673
508681,700
510169,667
514561,677
511275,706
514972,699
510407,710
511408,702
510268,693
505086,704
511907,696
511203,701
514972,699
514972,699
504427,707
515695,698
512394,695
512967,709
507062,697
511275,706
515695,698
512817,703
512394,695
510268,693
512394,695
510080,692
510407,710
510407,710
512868,770
507851,719
513720,673
506741,765
514174,725
511408,702
515570,752
510080,692
506976,735
507062,697
514174,725
510080,692
510887,745
511907,696
506871,686
510268,693
506871,686
509731,691
507062,697
